30,28
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Plain,Stockade,Stockade,Plain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea
Plain,Stockade,Stockade,Stockade,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Mountain,Mountain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Mountain,Plain,Plain,Plain,Plain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea
Mountain,Mountain,Mountain,Mountain,Plain,Mountain,Plain,Plain,Plain,Mountain,Mountain,Mountain,Hill,Plain,Plain,Plain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Sea,Sea,Sea
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Plain,Plain,Plain,Hill,Hill,Hill,Plain,Plain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Plain,Plain,Plain,Plain,Sea
Mountain,Mountain,House,Plain,House,Hill,Mountain,Hill,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Mountain,Sea,Sea,Sea,Sea,Sea,Sea,Sea,Plain,Castle,Castle,Castle,Plain,Plain,Sea
